Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belize,BLZ,GDP (current US$),28071888.56,29964370.71,31856922.86,33749405.01,36193826.12,40069930.07,44405594.41,47379310.34,44910179.64,47305389.22,53233532.93,59207317.07,66062500,78343558.28,103216374.3,118066298.3,96905829.6,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550000,314900000,363150000,413050000,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374050,1057845500,1114222550,1217467600,1290573400,1368625150,1336957250,1397113450,1486712300,1573618750,1613705850,1706497950,1742545900,1765256400
Bermuda,BMU,GDP (current US$),84466654.08,89249986.7,94149985.97,96366652.31,107566650.6,114339049,134173373.8,155102984.6,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,,,
Bolivia,BOL,GDP (current US$),563110051.9,612518906.8,669722541.3,721142957.3,812543072.5,908874537,994044553.9,1084059815,908874537,964615698.7,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606676,5594118400,5422656262,6169481549,5377277407,3959379488,4347956299,4597615563,4715978868,4867582620,5343274312,5643893347,5734676561,5981244887,6715220507,7396966657,7925673448,8497545598,8285075872,8397912509,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120159976,16674324634,17339992165,19649631308,23963033444,27084497540,30659338929,32996187988,33000198263,33806395514
Brazil,BRA,GDP (current US$),15165569913,15236854859,19926293839,23021477292,21211892260,21790035117,27062716578,30591834054,33875881876,37458898244,42327600098,49204456700,58539008786,79279057731,105136000000,123709000000,152678000000,176171000000,200801000000,224969000000,235025000000,263561000000,281682000000,203305000000,209024000000,222943000000,268137000000,294084000000,330397000000,425595000000,461952000000,602860000000,400599000000,437799000000,558112000000,785643000000,850426000000,883199000000,863723000000,599389000000,655421000000,559373000000,507963000000,558320000000,669316000000,891630000000,1107640000000,1397080000000,1695820000000,1667020000000,2208870000000,2616200000000,2465190000000,2472810000000,2455990000000,1803650000000,1796190000000
Barbados,BRB,GDP (current US$),,,,,,,,,,,,,,,,,,,,,1012264036,1114104642,1164059790,1235775211,1347033587,1409740726,1547790025,1704440883,1812891396,2006394477,2012302520,2020744654,1957168344,2063267996,2151285060,2261996995,2411846465,2549260575,2874413287,3012021852,3121619808,3116632413,3169612598,3274856571,3514370691,3897467234,4303275572,4546115388,4595264650,4601250000,4446800000,4358900000,4332150000,4371200000,4352700000,4421800000,4587550000
Brunei Darussalam,BRN,GDP (current US$),,,,,,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467979,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19048495519,18093829923,17123125493,12930394938,11400266877
Bhutan,BTN,GDP (current US$),,,,,,,,,,,,,,,,,,,,,135653295.2,146391639.7,148934334,165585940.6,169264991.2,172217502,201375725.6,253182453.7,283855833.3,275949889.1,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869145.1,897731524.9,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1798333726,1958819915,2057947621,2236933238
Botswana,BWA,GDP (current US$),30412308.99,32902336.64,35643207.63,38091150.57,41613969.05,45790869.75,51464435.15,58646443.51,66248256.62,77356914.08,96245114.46,126957494.4,165258093.9,244129088,306033848.4,355172413.8,372010119.6,451603325.4,590376720.6,819877300.6,1060923829,1073861599,1014907255,1172258182,1240796365,1114764007,1392634772,1965274882,2644536804,3083800685,3790567052,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9931134941,10126940513,10939053367,10945070442,10267133178,12786654366,15682926890,14686278714,14915780533,16259445050,14430608463,15274861068
Central African Republic,CAF,GDP (current US$),112155598.9,123134584.5,124482748.9,129379097.9,142025069.5,150574816.3,157930041.9,163820538.9,191767437,188039191.3,189106554.5,201450768.4,230317908,271183061.4,281398668.2,378660016.3,451152450,507298120.7,610578523.8,700764892.7,797048028.8,694803502.7,748312283.7,658679394.9,637820620.7,864849765.1,1122265026,1200991826,1264899368,1233930277,1440711396,1377375031,1411917558,1278781167,851174350.6,1115389732,1007791186,937741468,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799,1270080251,1350301057,1460562038,1698125618,1985239277,1981728141,1986014846,2212699747,2184183758,1518565219,1702898940,1583776760,1756124677
Canada,CAN,GDP (current US$),41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,87896095224,99271961478,113083000000,131322000000,160409000000,173834000000,206576000000,211612000000,218633000000,243072000000,273854000000,306215000000,313507000000,340548000000,355373000000,364756000000,377438000000,431317000000,507354000000,565056000000,593930000000,610328000000,592388000000,577171000000,578139000000,604032000000,628546000000,652825000000,631813000000,676083000000,742293000000,736380000000,757951000000,892381000000,1023200000000,1169360000000,1315420000000,1464980000000,1549130000000,1371150000000,1613460000000,1788650000000,1824290000000,1842630000000,1792880000000,1552810000000,1529760000000
