Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bolivia,BOL,General government final consumption expenditure (current US$),25042154.29,33389539.06,33389539.06,41736923.82,41736923.82,58922558.92,67340067.34,67340067.34,75757575.76,84175084.18,98653198.65,113215488.2,127792403.2,124437781.1,197301349.3,252023988,296301849.1,378560719.6,476811594.2,666166747.5,628058727.6,783034257.7,660197872.1,489573889.4,821133259.6,567910296.8,374061374.8,483740905.7,523508237.5,563118944.3,572207775.8,645186002.3,726397385,766751307.1,811529704.6,911431368.9,985813463.1,1101948309,1208255023,1226016620,1220997655,1280186018,1262339191,1335298987,1426434854,1525422943,1643827949,1844558794,2213912521,2550498718,2717783431,3301411417,3640055427,4243716787,4852764689,5773469899,5925527352
Brazil,BRA,General government final consumption expenditure (current US$),2138974629,2231397941,2326350972,2966120463,2484615117,2369143213,3017566424,3529668110,3771368225,4051070563,4793453719,5423630148,6294656312,8281010087,10243651651,13159614701,16062972517,16622737160,19388031460,21913453012,21617804789,24559797775,28184385846,19640729544,17317201193,22002970829,28621223440,35771188291,41603302535,65963601563,89120000000,107910000000,68354375000,77332826087,88359142812,146451000000,167966000000,172536000000,173354000000,118576000000,123008000000,108201000000,100626000000,106513000000,123607000000,168429000000,210883000000,264649000000,319484000000,327580000000,420058000000,488425000000,456801000000,467175000000,470409000000,355726000000,362477000000
Barbados,BRB,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,85366124.58,106195178.5,108774049,114427644.9,128148330.2,150861955.5,154994722.5,164483517.2,177642133.9,203033792.9,229351105.2,212258087,157266876.7,167624397.2,260776612.1,273405260.3,314274349.9,324615920.1,378163376.9,383632476.5,414250000,420650000,454750000,620700000,608650000,637750000,611850000,758750000,844300000,895550000,834500000,881325100,682180150,670977650,633450000,641449150,
Brunei Darussalam,BRN,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,185481554.4,201998903.6,131941071.7,129949987.7,82673702.73,108065851.2,409116383.3,191224499.5,235514018.7,363464268.8,,,,,,725529405.7,775172413.8,835841630,976058931.9,1060774848,1104491292,1266403274,1290070922,1307920259,1209966539,1316224189,1549160035,1646639951,1587620462,1578204856,1736076677,1754607366,2071810687,2770486365,2467118261,2499312526,3036303630,3469274187,3512323944,3648497442,3662194159,3240235654,2989512399
Bhutan,BTN,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,31051526.72,28202655.89,29506871.04,33833168.32,39868838.03,40873484.24,37420301.35,35510802.47,35807471.26,54158964.88,44717304.4,44639401.93,46882716.05,38652017.05,40261396.24,36154794.94,65845328.82,80250619.66,73657295.2,76014862.98,96372040.5,102587980.5,110891287.8,127083312.6,146728175.2,179399208.6,190792762.7,228660635.8,238421393.3,270261136.7,316841874.8,365280759.8,349777787.8,311854711.3,330889815.6,365780280.9,399572440.3
Botswana,BWA,General government final consumption expenditure (current US$),5515491.378,6397369.526,7453385.672,8473088.215,9783493.657,11726930.06,13528591.35,15132496.51,15690376.57,16014482.66,18076493.58,20763422.82,22038746.59,35441579.02,52685798.38,67410412.44,79576816.93,104572446.6,124728326.5,159141104.3,226389603.7,266403728.9,264397397.3,302990245.2,310343499.7,256202039.3,333776808,528590148.3,631767472.4,698918060.4,914915345.3,955282944.2,1092927904,1164685733,1219176041,1421758892,1269809277,1414813192,1440450555,1503286913,1441452037,1289324111,1217168684,1653202792,1839178078,1926714171,1725413169,1924702433,2227459652,2165291512,2526196082,2838074347,2781899733,2766624853,3241191968,2972359102,
Central African Republic,CAF,General government final consumption expenditure (current US$),21615432.77,23648367.59,25304686.8,25304428.6,31833200.56,33461066.21,33783999.73,36178721.3,38373808.14,37698018.47,37988003.03,38132391.28,43646015.36,52941095.84,56085312,64858444.36,61100518.73,62683247.74,85971585.05,109532843.9,120693149.3,104146929.2,118987391.3,111266798.7,90855676.78,130838729.2,174932047.1,209731526.9,204053608.5,194972983.5,221578404.6,229058559,241813308.9,195015160.9,140305008.2,166341312.5,130071639.8,111160530.3,110859904.1,169743629.6,148922091.9,130551123.8,137102751.5,118053965.2,132502392.6,116457165.8,100166268.2,108081761.6,140006984.7,147933347.5,163452734.5,174031870.5,160606518.2,155432758.5,139783992.6,121565746.5,127605318.1
Canada,CAN,General government final consumption expenditure (current US$),5980610590,6688335694,6752444002,7045198166,7664047925,8427465599,9912404069,11512464973,13088123808,14828981340,18299545411,20896385225,23651047379,26536228477,32946859714,38426044927,45494700507,47851914151,48357932848,51980010159,59167350582,65756943865,72209613358,77491885751,78603968805,80760161113,83733717164,93147812971,107588000000,121206000000,134822000000,147109000000,145296000000,138313000000,131519000000,131242000000,130917000000,130037000000,125764000000,131074000000,142300000000,144170000000,150447000000,178179000000,199357000000,223781000000,253942000000,282756000000,306241000000,301931000000,347315000000,379110000000,385083000000,382452000000,366487000000,326582000000,324717000000
Switzerland,CHE,General government final consumption expenditure (current US$),721609013.7,886485843.1,1029537794,1179137285,1295999428,1266833594,1351084958,1435527753,1546586306,1698238737,1880337571,2352174436,2877756736,3996357053,4766392810,5926929532,6468475956,6800893156,9439585738,10676444338,11195057767,10425346553,10955237896,11226780334,10507012427,10768937894,15653162210,19504926569,21495359803,21608615869,27978884106,29409302371,31785185464,30429137859,33617958470,39024758309,37925931553,32037575966,32148100841,31297201504,29382280495,31074936419,34551944309,41179064974,45012591154,45820456553,46267923353,49454795318,56128587665,58798519254,61983802048,74753958360,73385655853,76142696692,78561599436,75970899136,
Channel Islands,CHI,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,General government final consumption expenditure (current US$),401818181.8,459090909.1,570909090.9,520625000,544782608.7,616250000,756666666.7,748039215.7,760000000,887093023.3,1113982301,1588606557,1812932692,2106648045,2443318151,1132357637,1378543065,1947026973,2221940272,2963618523,3432974359,4293153846,3727951287,2796890468,2602721365,2211842596,2229658425,2251962080,2503342721,2778778798,2957927189,3349169578,4051583099,4462283198,5065786092,6410139375,8577843766,9447406506,9292174850,9159770571,9407596434,8603895977,8521688618,8865245419,10875173908,13005474826,15363192044,17799334405,19888476128,21405405204,26462147473,30052009772,31853961816,34243558096,33453197853,31969635761,33448401201
China,CHN,General government final consumption expenditure (current US$),7754488586,7246730035,5971240556,6909578357,7677309286,8412543667,9350881469,7888536843,7819481680,9411812495,10272970997,12019660411,13812302347,16024932140,17468896594,19297773954,19625012877,22069114006,19260162602,24534782609,26250000000,25785714286,27041984733,32130268199,39103571429,43894557823,41550724638,35674887892,38907407407,45653846154,49070745698,53479094077,61425431711,63586949746,79202199868,97298430072,113377000000,131273000000,152657000000,177654000000,201487000000,215509000000,229453000000,243679000000,271833000000,319922000000,383895000000,478951000000,606272000000,674348000000,781952000000,998067000000,1149760000000,1300480000000,1396180000000,1546150000000,
Cote d'Ivoire,CIV,General government final consumption expenditure (current US$),43358329.35,54847018.33,61100757.55,71726248.12,92384051.24,99159022.1,109899773.4,118698748.7,143800837.9,166179028.7,197537624.6,252400108.6,288459731.8,395263268.5,497289819,661649379.9,754549605,853550356.8,1286915211,1663206724,1715262571,1485289764,1316164709,1152818666,1037402549,982943139.3,1385480295,1643726632,1753913591,1781144891,1813675500,1716725104,1945281270,1709265299,999631315.4,1166922146,1269758495,1763597680,1730151514,1713476599,1538002037,1523859934,1602268159,2265905575,2465789286,2464918732,2419428098,2713551199,3069237903,3067545585,3030332521,2854451718,3967264421,3985312816,4361971409,4706436382,5139281967
